Timestamp,STG Gross Power (MW),HP Steam Inlet Flow (KPPH),HP Steam Inlet Pressure (PSIA),HP Steam Inlet Temperature (DEGF),LP Steam Inlet Flow (KPPH),LP Steam Inlet Pressure (PSIA),LP Steam Admin Temperature (DEGF),LP Steam Exhaust Pressure (PSIA),HP Flow Function,HP Isentropic Efficiency (%),LP Flow Function,LP Isentropic Efficiency (%)
2016-05-23,123.80404,1102.7739,907.39105,945.2287,273.5936,83.840904,435.19543,1.3305491,34317.39,92.05184,74385.08,37.934486
2016-05-24,157.28299,1092.6204,900.70105,950.8241,263.09354,82.72515,431.6419,1.4905083,34342.793,92.05829,72349.92,69.83064
2016-05-25,160.99336,1112.219,915.65265,947.9056,271.12943,84.17794,433.76862,1.434087,34329.42,91.97019,73337.586,69.906136
2016-05-26,165.89894,1144.1752,942.46136,951.4973,276.84674,86.474174,435.74268,1.459165,34340.766,92.00876,72986.52,69.769356
2016-05-27,166.71788,1152.7675,947.716,947.24225,283.41495,87.27952,437.3918,1.4964538,34336.652,92.01027,74073.37,69.78909
2016-05-28,162.96654,1134.8428,934.54694,950.027,275.89612,85.78705,435.4025,1.4896977,34331.414,92.03998,73274.37,68.88114
2016-05-29,155.93904,1097.3727,905.2656,951.5389,263.75366,82.942406,431.65588,1.3903643,34323.8,92.02315,72334.805,67.02045
2016-05-30,159.38683,1112.5259,916.30145,948.5555,270.9724,84.23428,433.59512,1.4145129,34324.023,92.10548,73245.98,68.17822
2016-05-31,164.49702,1127.3517,927.5594,948.0674,275.12372,85.30767,434.78464,1.358169,34341.445,92.18548,73475.82,69.979614
2016-06-01,159.31734,1093.8348,902.4059,951.6241,262.2451,82.63338,431.11044,1.345832,34325.695,91.87314,72171.125,70.23759
2016-06-02,167.54053,1153.6384,947.8643,947.0798,283.27646,87.24724,437.0605,1.4068398,34354.395,92.03606,74043.0,69.566635
2016-06-03,165.15234,1141.1193,936.1695,942.24927,284.12054,86.46946,436.7986,1.3856992,34346.3,92.1802,74927.52,69.083435
2016-06-04,161.00789,1114.9292,918.34686,948.8723,271.04266,84.405876,433.661,1.4268885,34323.535,92.081345,73106.016,69.414055
2016-06-05,157.34114,1085.3909,895.2614,949.89026,261.93585,82.24548,430.72525,1.4158996,34314.363,92.15521,72417.586,70.19671
2016-06-06,164.31747,1130.485,929.99805,946.8073,280.41983,85.92976,437.16006,1.417048,34325.223,92.05059,74442.66,69.89837
2016-06-07,160.87367,1103.7235,908.219,945.87354,273.43924,83.975464,434.7505,1.3345957,34324.266,92.26924,74200.016,69.74934
2016-06-08,161.72679,1106.7996,908.16736,939.4798,279.7406,84.35258,435.69116,1.2981744,34327.695,92.34512,75615.27,69.811226
2016-06-10,160.61621,1106.9073,908.8641,944.1289,275.21783,83.92542,434.0586,1.3462676,34372.727,91.95737,74689.44,69.52571
2016-06-11,162.40817,1125.2448,926.7799,951.2315,275.1035,85.39166,436.22876,1.556529,34352.625,92.07061,73453.91,70.10185
2016-06-12,158.86923,1089.6716,898.0525,950.0507,265.52853,82.756134,433.12442,1.3545601,34342.17,92.13443,73056.98,70.17031
2016-06-13,161.27051,1103.4291,907.02203,944.58136,273.87817,83.84006,435.03656,1.3063271,34342.977,92.0993,74458.84,70.034096
2016-06-14,161.42934,1101.0366,906.3052,947.57996,270.87433,83.52925,434.35406,1.2867985,34340.38,92.086174,73887.875,70.22139
2016-06-15,159.82175,1093.6743,901.49713,950.35,267.2036,83.007256,433.79257,1.3280114,34337.574,92.1172,73322.56,70.13754
2016-06-16,151.46973,1046.928,853.02423,944.125,253.807,79.18535,428.6289,1.2622368,34694.797,92.086235,72821.914,69.21903
2016-06-17,160.35168,1109.9253,913.3468,947.97314,273.0484,84.213326,435.60034,1.341002,34350.547,92.025635,73916.414,68.59542
2016-06-18,159.32881,1096.9358,904.9994,952.58887,265.45886,82.98927,433.69785,1.371335,34336.348,92.0551,72859.71,69.650986
2016-06-19,161.89793,1113.6399,918.1352,952.7016,270.19522,84.24937,435.19562,1.4002657,34348.324,92.13927,73081.52,69.75787
2016-06-20,163.44061,1123.3209,925.70575,951.119,274.58328,85.12311,436.1098,1.4274358,34333.363,92.16214,73546.33,70.01173
2016-06-21,158.65535,1088.3585,898.19617,952.7986,263.28705,82.51379,432.8547,1.3454117,34335.367,92.07713,72647.01,70.02808
2016-06-22,158.4327,1091.1624,899.606,951.5775,265.16327,82.74511,433.10165,1.3625761,34350.76,91.96914,72969.17,69.72693
2016-06-23,153.02765,1099.8446,905.52795,948.4452,270.04886,83.48861,434.35675,1.388762,34346.152,92.182236,73694.74,63.89142
2016-06-24,163.80304,1131.1824,931.20105,948.70514,278.5944,85.75679,437.07822,1.4083524,34328.633,92.12174,74099.76,69.177124
2016-06-25,165.17485,1138.5968,937.1821,949.80096,279.86172,86.23955,437.7099,1.3708355,34342.562,91.9363,74037.625,69.04609
2016-06-26,163.57286,1134.1721,934.3218,950.8582,278.05673,85.9007,437.1887,1.4156345,34331.61,91.99916,73824.5,68.665924
2016-06-27,157.39734,1106.2603,911.12463,948.452,272.09363,83.94248,435.11624,1.4153522,34327.855,91.95839,73873.3,67.297615
2016-06-28,153.70117,1105.8773,910.8789,949.95874,270.72888,83.91171,434.77173,1.4808713,34348.527,92.26801,73517.7,64.34522
2016-06-29,164.97852,1152.7141,947.2669,945.2276,288.23962,87.56304,439.54678,1.4177804,34320.047,91.92445,75163.99,67.566895
2016-06-30,124.36743,1087.6945,897.59814,951.80273,263.9325,82.427536,432.80258,1.3230911,34323.438,91.952805,72900.84,39.71888
2016-07-01,156.80086,1084.2372,894.03296,951.82544,262.43835,82.16413,431.51337,1.431319,34355.59,92.06712,72657.45,69.90113
2016-07-03,160.48145,1107.982,911.0075,948.2874,271.1243,83.88701,433.8845,1.3246889,34384.77,92.114685,73610.96,68.87413
2016-07-04,157.04712,1092.5835,896.62286,948.083,268.3355,82.800095,433.41357,1.4790167,34465.42,91.896675,73783.32,69.587296
2016-07-05,165.77122,1148.129,944.1669,948.97046,283.68903,87.18205,439.08298,1.549236,34353.91,92.10045,74282.7,69.79895
2016-07-06,167.32202,1156.1902,951.19464,951.01935,283.99365,87.68287,439.23492,1.5358545,34363.957,92.08654,73948.336,69.84111
2016-07-07,163.51003,1136.1642,935.53577,951.8383,278.10953,86.14958,437.4336,1.5972923,34363.082,92.00317,73655.586,69.87768
